Show Number, Air Date, Round, Category, Value, Question, Answer,contestant_names,contestant_locations
4335,2003-06-06,Final Jeopardy!,CANDY,None,"Bill Harmsen, who raised horses in Colo., happily founded this candy co. in 1949 to make money during the winter",Jolly Rancher,"Karen Madigan, Chris Pyle, Jim Stalley","Wyoming, Kansas, Colorado"
4541,2004-05-10,Final Jeopardy!,THE PRESIDENCY,None,"If a president is impeached, this official presides over the trial in the Senate",the Chief Justice of the United States,"Tucker Carlson, Peggy Noonan, Bob Woodward","an author and co-host from , a contributing editor from , an assistant managing editor from "
3834,2001-04-12,Final Jeopardy!,THEATRE,None,"The 1996 musical ""Play On!"" gets its title from the first line of this Shakespeare play, on which it is based","\""Twelfth Night\""","Janet Crum, Larry Cloud, Donna Rosen","Oregon, California, California"
3619,2000-05-04,Final Jeopardy!,FILM CLASSICS,None,This 1951 classic stars the AFI's top picks for the greatest male & female film legends,The African Queen (Humphrey Bogart & Katharine Hepburn),"Jeff Horn, Jean Kosits, Dan Felsenheld","New York, New Jersey, Virginia"
3534,2000-01-06,Final Jeopardy!,NONFICTION AUTHORS,None,"First published in 1946, a book written by this man became the bestselling book in the U.S. after the Bible","Dr. Benjamin Spock (\""Baby and Child Care\"")","Mike Monday, Jimmy Vollman, Marc Hirsh","Wisconsin, California, Indiana"
4085,2002-05-10,Final Jeopardy!,KNOWLEDGE BY THE NUMBERS,None,Number of males who served as British PM in the 1990s plus Oscars won by Tom Hanks plus protons in a helium nucleus,6 (2 + 2 + 2),"Claudia Perry, Bob Verini, Chuck Forrest","New Jersey, California, United Kingdom"
1279,1990-03-08,Final Jeopardy!,FAMOUS NAMES,None,"He published a history of Virginia & New England in 1624, after escaping from Turks, Indians & pirates",Captain John Smith,"Gretchen Pruett, Martin Gostanian, Elaine Zollner","New York, Massachusetts, California"
1302,1990-04-10,Final Jeopardy!,CABLE TELEVISION,None,"The name of this channel can be traced back to a movie theater that opened in 1905 in McKeesport, Pa.",Nickelodeon,"Joel Silverman, Kerry Noonan, Ed Borasky","Colorado, California, Oregon"
4936,2006-02-13,Final Jeopardy!,THE 50 STATES,None,"Since 1776, it has been the only U.S. state to be the most populous state for more than a century",New York,"Sebastian Johnson, Camille Bullock, Matt Klein","Maryland, Louisiana, New York"
3632,2000-05-23,Final Jeopardy!,ASIA,None,It's Asia's southernmost national capital,Jakarta (Indonesia),"Jennifer Knierim, Mike Andrews, Jeff Horn","California, Michigan, New York"
3362,1999-03-30,Final Jeopardy!,WORLD GEOGRAPHY,None,One story says this point was so named becuase it was a positive sign of a sea route from Europe to India,Cape of Good Hope,"Paul Rubenstein, Mihee Kim, Ajuan Mance","California, California, Oregon"
4960,2006-03-17,Final Jeopardy!,20th CENTURY BOOKS,None,"Chapter I of this book tells us: ""Worse than the ordinary miserable childhood is the miserable Irish childhood...""",Angela's Ashes (by Frank McCourt),"James Washick, Lara Beaton, Scott Gardiner","South Carolina, Canada, Florida"
5392,2008-02-05,Final Jeopardy!,19th CENTURY POLITICIANS,None,"As Territories Committee chair, this Midwest senator helped draw the borders of 7 territories, including Kansas & Nebraska",Stephen Douglas,"Babatope Ogunmola, Adrienne Horrigan, Jennah Durant","New York, Illinois, Texas"
5795,2009-11-20,Final Jeopardy!,PRESIDENTIAL ELECTIONS,None,He was the last sitting president to run for re-election & finish third in the Electoral College,William Howard Taft,"Barbara Pfouts, Ben Davis, Jarret Izzo","Pennsylvania, Illinois, New York"
6118,2011-03-30,Final Jeopardy!,INFLUENTIAL 19th CENTURY THINKERS,None,"At the University of Bonn in 1836, he was wounded in a duel with a member of an aristocratic Prussian fraternity",Karl Marx,"Paul Cheng, Ellen Dickens, Ted Sitting Crow Garner","California, Maine, Illinois"
5580,2008-12-05,Final Jeopardy!,HISTORIC PROPERTY TRANSACTIONS,None,"On May 15, 1768 France bought this island from Genoa for 2 million livres",Corsica,"Greg Morrison, Lauren Robb, Ben Bishop","Maryland, Wisconsin, Washington"
4699,2005-01-27,Final Jeopardy!,MOUNTAINS,None,"To trek through its Khumbu Icefall, Lhotse Face & South Col, your team needs a $70,000 permit from Nepal's government",Mount Everest,"Kerri Regan, Steve Golden, Ruvani Fonseka","New York, Maryland, Michigan"
3113,1998-02-25,Final Jeopardy!,ASIA,None,19th century novelist Jose Rizal was a hero of this country's independence movement,the Philippines,"Susan Fritsch-Cohen, Mike Hill, Chris Ward","New Jersey, Wisconsin, Peru"
3447,1999-09-07,Final Jeopardy!,EMPIRES,None,"In the early 1800s, this man's empire included the duchy of Warsaw, the kingdom of Naples & Spain",Napoleon,"Yoni Freund, Davine Scarlett, Robert Arshonsky","Connecticut, Florida, Ohio"
6294,2012-01-19,Final Jeopardy!,SPORTS & THE MOVIES,None,"When asked for a home address in ""The Blues Bros."" Elwood gives 1060 W. Addison St., the home of this facility",Wrigley Field,"Naved Sheikh, Lynn Hammerlund, Amy Stephenson","New York, Illinois, New York"
3461,1999-09-27,Final Jeopardy!,FICTION,None,This 1937 mystery was written at the Old Cataract Hotel in Aswan,"\""Death on the Nile\""","Hilary Waddles, Steve Fried, Dylan McKenna","Michigan, Arizona, California"
1800,1992-05-29,Final Jeopardy!,VICE PRESIDENTS,None,"He served FDR as Commerce Secretary, Agriculture Secretary, and Vice President",Henry Wallace,"Stuart Wald, Judy Senecal, Bernard Welt","Louisiana, Canada, Maryland"
5981,2010-09-20,Final Jeopardy!,THE WESTERN HEMISPHERE,None,"Made up of 1 large & many smaller islands, it's the most populous of Britain's remaining overseas territories",Bermuda,"Marisa Tam, Mary Keating, Roger Craig","Minnesota, Maryland, Delaware"
3112,1998-02-24,Final Jeopardy!,FAMOUS VOYAGES,None,Capt. Robert Fitzroy of this ship argued that its scientific discoveries supported the Bible,the Beagle,"Chris Ward, Jane Jessell, Michelle Covert","Peru, Montana, Washington"
5431,2008-03-31,Final Jeopardy!,BEFORE THEY WERE SENATORS,None,"Later a U.S. senator, in 1962 he made a famous 75,000-mile trip",John Glenn,"Jeff McCollum, Denise Powers, Bryan Johnson","Pennsylvania, Washington D.C., California"
5630,2009-02-13,Final Jeopardy!,CLASSIC MOVIE CHARACTERS,None,"The parents of this 1942 film character are an unnamed mother & a father known as ""the great prince of the forest""",Bambi,"Brian Stack, Diane Trap, Deepak Tamasker","Alabama, Georgia, Ohio"
4595,2004-07-23,Final Jeopardy!,SHAKESPEARE,None,2 of the 4 Shakespeare plays in which ghosts appear on stage,"(2 of) Hamlet, Julius Caesar, Macbeth, Richard III","Kristine O'Connell-McCoy, Sarah Mulloy, Ken Jennings","California, Michigan, Utah"
3214,1998-07-16,Final Jeopardy!,TELEVISION & HISTORY,None,"When ""60 Minutes"" premiered, this man was U.S. president","Lyndon B. Johnson (show premiered Sept. 24, 1968)","Blaine Faulkner, Susan Fisher, William Toren","California, Washington, California"
5145,2007-01-12,Final Jeopardy!,LITERARY TITLES,None,"This 1954 book title refers to an impaled sow's head, an offering to the ""beast""",Lord of the Flies,"Dom Ochotorena, Val Adamcyk, Kelly Isenor","California, New York, Massachusetts"
5282,2007-07-24,Final Jeopardy!,ANIMALS,None,"The genus of this Asian animal is Ailuropoda, & its species name, appropriately, is melanoleuca",the giant panda,"Lisa Ackerman, Meryl Federman, Aiden Pink","California, New Jersey, Minnesota"
4220,2002-12-27,Final Jeopardy!,IN THE DICTIONARY,None,"This 5-letter word can refer to one type of work by a composer, or to several works of different types",opera,"John Fennell, Chris Shar, Steve Frost","Virginia, Pennsylvania, California"
6125,2011-04-08,Final Jeopardy!,THE METROPOLITAN MUSEUM OF ART,None,64 paintings from the Met's founding purchase are still in its collection; over 1/3 of them are from this current European nation,the Netherlands,"Anselm Chen, Kimberly Sheppard, Christopher Short","California, Texas, Indiana"
5979,2010-09-16,Final Jeopardy!,WORD AND PHRASE ORIGINS,None,"Meaning ""rapidly"", this term began in England, referring to the speed with which the mail was delivered",post haste,"Ruth Anne Stevens-Klitz, Les Taub, Roger Craig","Ohio, New York, Delaware"
3815,2001-03-16,Final Jeopardy!,SPORTS NAME ORIGINS,None,This racket sport takes its name from the country home of the 19th century Duke of Beaufort,Badminton,"Anne Volk, Steve Deitsch, Raj Choudhary","Indiana, Florida, Texas"
422,1986-04-22,Final Jeopardy!,GAMBLING,None,"Next to slots, Nevada casinos make more money from this game than any other, nearly $3/4 billion in 1985",blackjack,"Susan Sanchez, Randy Amasia, Kurt Weldon","Massachusetts, California, California"
1740,1992-03-06,Final Jeopardy!,20th CENTURY VICE PRESIDENTS,None,The only VP to become president not immediately after his vice presidential term,Richard Nixon,"Jill Young, April McManus, Cori Van Noy","Wisconsin, Minnesota, California"
3697,2000-10-03,Final Jeopardy!,FAMOUS TEENAGERS,None,"This young man who turned 18 on June 21, 2000 has a dog named Widgeon & a younger brother named Harry",Prince William,"David Hudson, Jr., Ariel Edwards-Levy, Neville Fogarty","Virginia, California, Texas"
5079,2006-10-12,Final Jeopardy!,WORLD CAPITALS,None,"Started in 1988 for this city's 75th anniversary, a Springtime Flower Festival in September shows off its Commonwealth Park","Canberra, Australia","Ruth Dammel, Oz Vazquez, Steve Jenkins","Iowa, Massachusetts, Pennsylvania"
4487,2004-02-24,Final Jeopardy!,FAMOUS NAMES,None,"A grandson of Man O' War, he defeated his uncle in a famous matchup November 1, 1938",Seabiscuit,"Janice Dooner Lynch, Sean Morris, Arthur Gandolfi","New York, California, New York"
5807,2009-12-08,Final Jeopardy!,LITERATURE OF THE 1800s,None,"This character said, ""I will live in the past, the present, and the future.  The spirits of all three shall strive within me""",Ebenezer Scrooge,"Paul Lavrakas, Angie Harrison, Dave Belote","Virginia, Maryland, Las Vegas"
5622,2009-02-03,Final Jeopardy!,CIVIL WAR PEOPLE,None,He was the only person who died during the Civil War to be featured on Confederate currency,Stonewall Jackson,"Brooke Anthony, Chris Norlin, Carolyn Young","New York, California, Georgia"
5084,2006-10-19,Final Jeopardy!,FAMOUS NAMES,None,"Once a top spy, he invented the mug shot seen on reward posters in the Wild West",Allan Pinkerton,"Elesha Coffman, Andy Reese, Joe Leibrandt","North Carolina, California, California"
5002,2006-05-16,Final Jeopardy!,SCIENTISTS,None,"""American Prometheus"" is a biography of this physicist who died in 1967",J. Robert Oppenheimer,"Kevin Marshall, Bill MacDonald, David Madden","Louisiana, Florida, New Jersey"
5334,2007-11-15,Final Jeopardy!,SCIENTISTS,None,In 2007 this 1962 American Nobel laureate became the first person to receive his own personal genome map,James Watson,"Doug Hicton, Cliff Galiher, Celeste DiNucci","Canada, California, Pennsylvania"
5347,2007-12-04,Final Jeopardy!,U.S. POLITICS,None,"Since 1960, only Massachusetts & this state have produced more than one of the 10 Democratic presidential nominees",Minnesota (Hubert Humphrey & Walter Mondale),"Keith Thorell, John O'Leary, Heather Mathewson Rainville","California, Massachusetts, North Carolina"
4751,2005-04-11,Final Jeopardy!,ARLINGTON'S TOMB OF UNKNOWNS,None,Sentinels at the tomb walk exactly this many steps at a time before they stop & turn,21,"David Venderbush, Scott Gillispie, Steven Popper","New York, Georgia, California"
4576,2004-06-28,Final Jeopardy!,BOOK TITLES,None,"""I am the rose of Sharon"" & ""When you know your name, you should hang on to it"" are from 2 different books titled this",Song of Solomon,"Lori Fountain, Michael Magdalena, Ken Jennings","Nevada, California, Utah"
4582,2004-07-06,Final Jeopardy!,HISTORIC ENGLISHMEN,None,"Ironically, he might have saved himself from death in 1779 if he had known how to swim",Captain Cook,"Jenny Miller, Tom Aquino, Ken Jennings","Virginia, Massachusetts, Utah"
5352,2007-12-11,Final Jeopardy!,SHAKESPEAREAN TRAGEDY CHARACTERS,None,"To the consternation of the title character, we learn that this character was born by C-section",Macduff,"Leslie Rochlen, Mike Donilon, Jenn Cannon","Connecticut, Florida, Michigan"
4398,2003-10-22,Final Jeopardy!,20th CENTURY NOTABLES,None,"Einstein said of him, ""Generations to come will scarcely believe"" one such as he ""walked the Earth in flesh & blood""",Mohandas Gandhi,"Gina Ash, Dick Fernberg, Russ Schumacher","Virginia, Florida, Colorado"
6144,2011-05-05,Final Jeopardy!,WORLD LEADERS,None,"Shortly after he received the 1990 Nobel Peace Prize, his country ceased to exist",Mikhail Gorbachev,"Sally Umbach, Charles Temple, Grafton Brown","Ohio, North Carolina, Illinois"
6239,2011-11-03,Final Jeopardy!,COUNTRIES' HIGHEST PEAKS,None,"These 2 nations, one an island, have highest peaks with the same name; they also share a common European culture",Greece & Cyprus,"Kara Spak, Brian Meacham, Roger Craig","Illinois, Alaska, Delaware"
5796,2009-11-23,Final Jeopardy!,ODD TITLES,None,"Gilbert & Sullivan's ""Mikado"", not Milne, gave us this hyphenated title for a pompous functionary",grand poo-bah,"Patrick Pence, Cathy Sorge, Ben Davis","Florida, Maryland, Illinois"
5996,2010-10-11,Final Jeopardy!,PRISONS,None,Nazi Rudolf Hess in 1941 & the notorious Kray twins in 1952 were among the last people briefly held here,the Tower of London,"Carol Denny, Dylan Payne, Mike Hodel","Maryland, New York, Washington"
2818,1996-11-27,Final Jeopardy!,RIVERS,None,"It was once believed that this river ""originated in the Mountains of the Moon""",the Nile,"Shane Whitlock, Beverly Spurs, Mike Dupée","Arkansas, California, Florida"
5797,2009-11-24,Final Jeopardy!,COMPOSERS,None,"In 1928, the 100th anniversary of his death, a $10,000 prize was offered for the completion of his 8th Symphony",(Franz) Schubert,"Robert Bethune, Jen Jacobsen, Ben Davis","California, Iowa, Illinois"
4213,2002-12-18,Final Jeopardy!,20th CENTURY U.S. PRESIDENTS,None,This president shares his middle name with the name of a 1st C. Jewish theologian mentioned in the New Testament,Warren Gamaliel Harding,"Kali Klena, Murray Levin, Elizabeth Baxter","Illinois, Pennsylvania, Oklahoma"
4278,2003-03-19,Final Jeopardy!,ALL GOD'S CREATURES,None,"Edison proposed a flying machine based on the flight of this creature, also the subject of a musical work",bumblebee,"David Frazee, Erica Weinberg, Amanda Potocky","Kansas, New York, North Carolina"
3403,1999-05-26,Final Jeopardy!,1950s ACHIEVEMENTS,None,"On Nov. 20, 1953, in a Douglas D-558-2, Scott Crossfield reached this benchmark",Traveling twice the speed of sound,"Elton Bowen, Pat Smith, Eileen Tremblay","Virginia, Florida, Massachusetts"
3436,1999-07-12,Final Jeopardy!,IN THE BOOKSTORE,None,"Bestselling author seen here (she's holding a large ""A"" & a large ""Z"")",Sue Grafton,"Jim Austgen, Brad Golstein, Laura Miller","Illinois, California, California"
1276,1990-03-05,Final Jeopardy!,SHAKESPEAREAN TITLE CHARACTERS,None,"He is introduced as ""The triple pillar of the world transformed into a strumpet's fool""",Marc Antony,"Gunther Freehill, Keith Pickering, Elaine Zollner","Illinois, Minnesota, California"
4700,2005-01-28,Final Jeopardy!,THE WORLD OF ART,None,"It's the room where you'll find the masterpiece that includes ""The Flood"" & ""The Creation of Eve""",the Sistine Chapel,"Whitney Prince, Allan Long, Caitlin Cook","Tennessee, Florida, North Carolina"
6288,2012-01-11,Final Jeopardy!,FOOD ETYMOLOGY,None,"Keith Downey developed rapeseed into this cooking product, now a huge cash crop for farmers in Saskatchewan",canola,"Vinayak Thiagarajan, Katy Stigers, Dan McShane","Illinois, Tennessee, New York"
5512,2008-07-22,Final Jeopardy!,WORLD LEADERS,None,"Born in Kiev & later a U.S. citizen, this leader became prime minister in 1969 of a country founded in the 20th century",Golda Meir,"Josh Fruhlinger, Joanne Infantino, Mark Wales","Maryland, Oklahoma, New York"
3060,1997-12-12,Final Jeopardy!,BRAND NAMES,None,"Formulated in 1953, its first purpose was ""water displacement"" to prevent corrosion on missiles",WD-40,"Linda Zee, Gardner Linn, Jennifer Hopens","New York, Georgia, Texas"
5419,2008-03-13,Final Jeopardy!,AUTHORS,None,"Sherwood Anderson told him, write about what ""you know... that little patch... in Mississippi where you started from""",William Faulkner,"Trevor Burrus, Ellen Eden, Jason Kaczor","Colorado, Illinois, New York"
5686,2009-05-04,Final Jeopardy!,THE 50 STATES,None,An 1881 resolution established that this state's name was to be spelled one way but pronounced another,Arkansas,"Mark Petterson, Laura Myers, Jennifer Duann","a senior from the University of Kansas, a senior from the University of Missouri, a senior from the Ohio State University"
3343,1999-03-03,Final Jeopardy!,THE PRESIDENCY,None,"In 1998, the highest-ranking person in the line of presidential succession who could not legally be president",Madeleine Albright (Secretary of State),"Joan Williams, Lina Ghosh, Elizabeth Nyman","Illinois, Indiana, Florida"
3331,1999-02-15,Final Jeopardy!,WORLD CITIES,None,In May 1998 this metropolis of 7 million voted to start electing its mayor for the first time,London,"Juliet Wiley, Lance Johnson, Andrew Maly","Texas, Illinois, Maryland"
3003,1997-09-24,Final Jeopardy!,19TH CENTURY FICTION,None,"The 1853 novel ""Clotel, or The President's Daughter"" alleges that this man had an affair with a slave",Thomas Jefferson,"Roxanne Smith, Phil Turnbull, Bob Willoughby","Maryland, Washington, Wisconsin"
308,1985-11-13,Final Jeopardy!,BIOLOGY,None,"Of the 4, blood group of the universal recipient",AB,"John Hnat, Paul Boymel, Paul Croshier","Ohio, Maryland, California"
3480,1999-10-22,Final Jeopardy!,SISTER CITIES,None,"San Francisco, California is a sister city to this one in Italy",Assisi (named after St. Francis of Assisi),"Wendy Ball, Tony Kollath, Eddie Timanus","Illinois, Virginia, Virginia"
4842,2005-10-04,Final Jeopardy!,20th CENTURY NOVELS,None,"Ironically, this 1953 science fiction book began appearing in a censored version in 1967",Fahrenheit 451,"Thaddeus Grimes-Gruczka, Susan Daniels, Jason Richards","New York, Rhode Island, Maine"
1658,1991-11-13,Final Jeopardy!,AFRICAN AMERICANS,None,In 1978 she became the first black woman honored on a U.S. postage stamp,Harriet Tubman,"Lois Kurowski, Steve Robin, Scott Gillispie","Indiana, Arizona, Georgia"
3254,1998-10-29,Final Jeopardy!,TV CHARACTERS,None,Dozens of web sites are devoted to picking on this Sheryl Leach creation who only gives love,Barney,"Liz Fasoldt, Rick Bunch, Juliet Wiley","Pennsylvania, Washington D.C., Texas"
5903,2010-04-21,Final Jeopardy!,SAINTHOOD,None,In 2009 this man who died on Molokai in 1889 became Hawaii's first saint,Father Damien,"Patsy Chrysson, Phil Bucska, Amy Wilson","North Carolina, Michigan, Oregon"
5914,2010-05-06,Final Jeopardy!,AMERICAN LITERATURE,None,"A contemporary review of this 1851 novel said, ""Who would have looked for... poetry in blubber?""",Moby-Dick,"Jane Curtin, Cheech Marin, Michael McKean","an actress from , writer and musician from , Oscar nominee and multi-talented performer from "
2047,1993-06-29,Final Jeopardy!,U.S. RIVERS,None,"The name of this river, famous in song, may be a corruption of the Spanish for ""little Saint John""",the Swanee,"Rebecca Jacobs, Mike Boyd, David Harris","Massachusetts, Illinois, New Jersey"
2349,1994-11-17,Final Jeopardy!,NAMES IN THE NEWS,None,This former U.N. ambassador is a co-chairman of the host city's committee for the 1996 Olympic Games,Andrew Young,"Rachael Schwartz, David Hillinck, John Cuthbertson","New Jersey, California, California"
5173,2007-02-21,Final Jeopardy!,EXPLORERS,None,"In 1616, after Hudson died, this man became the 1st European to reach Ellesmere Island; an island & bay are named for him",(William) Baffin,"Ted Dudley, Sue Saunders, Brad Haag","Vermont, Virginia, California"
3537,2000-01-11,Final Jeopardy!,TELEVISION HISTORY,None,In the late '60s this character was created to show children it's okay to be grumpy,"Oscar the Grouch (from \""Sesame Street\"")","Cheryl Lopes, Terence Caulfield, Jerry Crowley","Rhode Island, Maryland, Florida"
3911,2001-09-10,Final Jeopardy!,FAMOUS PEOPLE,None,"In 2001, she produced & hosted the Travel Channel's ""Secrets of San Simeon""",Patty Hearst,"Brian O'Rourke, Tony Morgan, Ramsey Campbell","Massachusetts, Tennessee, California"
4254,2003-02-13,Final Jeopardy!,FIRST NAMES,None,"Once considered too sacred to use, it was later the top girl's name from 1880 to the 1940s",Mary,"Tyler Allard, John Zhang, Anthony Valente","Maryland, Kentucky, New York"
5831,2010-01-11,Final Jeopardy!,THE PARTS OF SPEECH,None,"Of the traditional 8 parts of speech, it's the only one that doesn't end in the same 4 letters as 1 of the other parts of speech",adjective,"Alonso Duralde, Mariann Cook Andrews, Susan Poliniak","California, Washington, New York"
3470,1999-10-08,Final Jeopardy!,THE FUNNIES,None,"Debuting November 18, 1985, the caption in its first box was ""So long, Pop!  I'm off to check my tiger trap!""",Calvin and Hobbes,"Paul McGonagle, Beth Carroll, Pat Tortorello","Illinois, New Jersey, New Jersey"
4506,2004-03-22,Final Jeopardy!,FAMOUS FELINES,None,"He made his debut in the 1945 short film ""Life with Feathers""",Sylvester,"Daniel Black, Brian G. Hartz, Sonja Srinivasan","Nevada, Indiana, California"
2120,1993-11-19,Final Jeopardy!,WORD ORIGINS,None,"The name of this dialect comes from a Hindi word, mantri, meaning ""counselor""",Mandarin,"Jack Mahoney, Al Lin, Diane Siegel","New Jersey, Virginia, California"
5935,2010-06-04,Final Jeopardy!,AMERICAN POLITICIANS,None,"Frank Sinatra came out of retirement to sing their praises: ""they're both unique... the Quaker & the Greek""",Richard Nixon & Spiro Agnew,"J.R. Lind, Felicia Ko, Jeff Johnson","Tennessee, Pennsylvania, Kentucky"
3903,2001-07-18,Final Jeopardy!,INTERNATIONAL LANDMARKS,None,"Its roof has been variously described as sails, clam shells & a huddle of nuns in a high wind",the Sydney Opera House,"Chris Todd, Emily Eagan, Alan Bailey","New York, Louisiana, California"
3303,1999-01-06,Final Jeopardy!,PEOPLE,None,"He made the cover of Life magazine 3 times in February & March of 1962, & again in October 1998",John Glenn,"Lynn Crowell, Dennis Thibodeaux, April Hahn","New York, Tennessee, California"
4968,2006-03-29,Final Jeopardy!,20th CENTURY THEATER,None,"This play ends with 1 character asking, ""Well?  Shall we go?""; the other replies, ""Yes, let's go"", but they do not move",Waiting for Godot,"Dustin Burke, Ed Lewis, Ben Goggins","Pennsylvania, California, Georgia"
5307,2007-10-09,Final Jeopardy!,U.S. PRESIDENTS,None,He's the only U.S. president who never lived in the District of Columbia,George Washington,"Rachel Millena, Eddie Kwiatkowski, Charlie Blatt","California, Rhode Island, New York"
3517,1999-12-14,Final Jeopardy!,AMERICAN AUTHORS,None,"His bestselling first novel, published in 1846, was set in Polynesia","Herman Melville (\""Typee\"")","Kathleen Victor Wyatt, Carter Paige, Darlene Lieblich","New York, Maryland, California"
776,1988-01-11,Final Jeopardy!,SOUTH AMERICA,None,These are the only 2 independent countries in South America named for a famous person,Colombia & Bolivia,"Robin Hoffmann, Leah Greenwald, Sarah Workman","Illinois, Massachusetts, California"
3010,1997-10-03,Final Jeopardy!,BATTLES,None,"Napoleon's plans to invade England were dashed by this October 21, 1805 battle",Battle of Trafalgar,"Kate Rogers, Alberto Cangahuala, Ronda Barker","Washington, California, Illinois"
3855,2001-05-11,Final Jeopardy!,SOUTH AMERICA,None,One of 2 landlocked countries in South America,(1 of 2) Bolivia or Paraguay,"Colleen Mahoney, Graham Gilmer, Andy Siegler","Connecticut, Virginia, New Jersey"
3358,1999-03-24,Final Jeopardy!,WORD ORIGINS,None,"Today meaning a self-employed person, this term derives from medieval knights who sold their skills",Freelancer,"Susanne Sutton, Brad Nail, Robin LeMaster","Georgia, Florida, California"
4985,2006-04-21,Final Jeopardy!,FAMOUS OBJECTS,None,"Shah Jahan, Ranjit Singh & Queen Victoria all possessed a famous one whose name means ""mountain of light""",a diamond,"Jimmie Bise Jr., Sally Vaughn, Doug Dorst","Maryland, Wyoming, Texas"
6287,2012-01-10,Final Jeopardy!,RULERS IN HISTORY,None,"Born in 1672 & named for a saint, in 1703 he founded a city whose name represents both of them",Peter the Great,"Jennifer Osorio, Bryan Barnett, Dan McShane","California, Virginia, New York"
5930,2010-05-28,Final Jeopardy!,AWARDS & HONORS,None,A trophy named for this author is awarded to anyone who breaks the record for sailing a yacht around the world,Jules Verne,"Elizabeth Schmitt, Aaron Ammerman, Tom LaPorta","Texas, Virginia, Florida"
4306,2003-04-28,Final Jeopardy!,TRANSPORTATION,None,"On December 11, 1967 it was removed from the British registry & turned over to the city of Long Beach, California",the Queen Mary,"Paige Davis, Hal Sparks, Julie Bowen","a host and actress from , a comedian and actor from , an actress from "
5363,2007-12-26,Final Jeopardy!,STRUCTURES,None,"When completed, it stretched for 73 1/2 miles from Bowness to Wallsend",Hadrian's Wall,"Patricia Crane, Bruce Upbin, Cora Peck","Virginia, New York, California"
958,1988-11-02,Final Jeopardy!,THE SPACE RACE,None,"Sputnik was the Soviet's 1st satellite, while this was ours",Explorer,"Phil Nauss, Eileen Anderson, Alison Roberts","Utah, New York, Louisiana"
