show_number,air_date,round,category,contestant_one_name,contestant_two_name,contestant_three_name,contestant_one_location,contestant_two_location,contestant_three_location
3362,1999-03-30,Final Jeopardy!,WORLD GEOGRAPHY,Paul Rubenstein,Mihee Kim,Ajuan Mance,California,California,Oregon
4960,2006-03-17,Final Jeopardy!,20th CENTURY BOOKS,James Washick,Lara Beaton,Scott Gardiner,South Carolina,Canada,Florida
5392,2008-02-05,Final Jeopardy!,19th CENTURY POLITICIANS,Babatope Ogunmola,Adrienne Horrigan,Jennah Durant,New York,Illinois,Texas
5795,2009-11-20,Final Jeopardy!,PRESIDENTIAL ELECTIONS,Barbara Pfouts,Ben Davis,Jarret Izzo,Pennsylvania,Illinois,New York
6118,2011-03-30,Final Jeopardy!,INFLUENTIAL 19th CENTURY THINKERS,Paul Cheng,Ellen Dickens,Ted Sitting Crow Garner,California,Maine,Illinois
5580,2008-12-05,Final Jeopardy!,HISTORIC PROPERTY TRANSACTIONS,Greg Morrison,Lauren Robb,Ben Bishop,Maryland,Wisconsin,Washington
4699,2005-01-27,Final Jeopardy!,MOUNTAINS,Kerri Regan,Steve Golden,Ruvani Fonseka,New York,Maryland,Michigan
3113,1998-02-25,Final Jeopardy!,ASIA,Susan Fritsch-Cohen,Mike Hill,Chris Ward,New Jersey,Wisconsin,Peru
3447,1999-09-07,Final Jeopardy!,EMPIRES,Yoni Freund,Davine Scarlett,Robert Arshonsky,Connecticut,Florida,Ohio
6294,2012-01-19,Final Jeopardy!,SPORTS & THE MOVIES,Naved Sheikh,Lynn Hammerlund,Amy Stephenson,New York,Illinois,New York
3461,1999-09-27,Final Jeopardy!,FICTION,Hilary Waddles,Steve Fried,Dylan McKenna,Michigan,Arizona,California
1800,1992-05-29,Final Jeopardy!,VICE PRESIDENTS,Stuart Wald,Judy Senecal,Bernard Welt,Louisiana,Canada,Maryland
5981,2010-09-20,Final Jeopardy!,THE WESTERN HEMISPHERE,Marisa Tam,Mary Keating,Roger Craig,Minnesota,Maryland,Delaware
3112,1998-02-24,Final Jeopardy!,FAMOUS VOYAGES,Chris Ward,Jane Jessell,Michelle Covert,Peru,Montana,Washington
5431,2008-03-31,Final Jeopardy!,BEFORE THEY WERE SENATORS,Jeff McCollum,Denise Powers,Bryan Johnson,Pennsylvania,"Washington, D.C.",California
5630,2009-02-13,Final Jeopardy!,CLASSIC MOVIE CHARACTERS,Brian Stack,Diane Trap,Deepak Tamasker,Alabama,Georgia,Ohio
4595,2004-07-23,Final Jeopardy!,SHAKESPEARE,Kristine O'Connell-McCoy,Sarah Mulloy,Ken Jennings,California,Michigan,Utah
3214,1998-07-16,Final Jeopardy!,TELEVISION & HISTORY,Blaine Faulkner,Susan Fisher,William Toren,California,Washington,California
5145,2007-01-12,Final Jeopardy!,LITERARY TITLES,Dom Ochotorena,Val Adamcyk,Kelly Isenor,California,New York,Massachusetts
5282,2007-07-24,Final Jeopardy!,ANIMALS,Lisa Ackerman,Meryl Federman,Aiden Pink,California,New Jersey,Minnesota
4220,2002-12-27,Final Jeopardy!,IN THE DICTIONARY,John Fennell,Chris Shar,Steve Frost,Virginia,Pennsylvania,California
6125,2011-04-08,Final Jeopardy!,THE METROPOLITAN MUSEUM OF ART,Anselm Chen,Kimberly Sheppard,Christopher Short,California,Texas,Indiana
5979,2010-09-16,Final Jeopardy!,WORD AND PHRASE ORIGINS,Ruth Anne Stevens-Klitz,Les Taub,Roger Craig,Ohio,New York,Delaware
3815,2001-03-16,Final Jeopardy!,SPORTS NAME ORIGINS,Anne Volk,Steve Deitsch,Raj Choudhary,Indiana,Florida,Texas
422,1986-04-22,Final Jeopardy!,GAMBLING,Susan Sanchez,Randy Amasia,Kurt Weldon,Massachusetts,California,California
1740,1992-03-06,Final Jeopardy!,20th CENTURY VICE PRESIDENTS,Jill Young,April McManus,Cori Van Noy,Wisconsin,Minnesota,California
3697,2000-10-03,Final Jeopardy!,FAMOUS TEENAGERS,David Hudson,Jr.,"Ariel Edwards-Levy, Neville Fogarty",Virginia,California,Texas
5079,2006-10-12,Final Jeopardy!,WORLD CAPITALS,Ruth Dammel,Oz Vazquez,Steve Jenkins,Iowa,Massachusetts,Pennsylvania
4487,2004-02-24,Final Jeopardy!,FAMOUS NAMES,Janice Dooner Lynch,Sean Morris,Arthur Gandolfi,New York,California,New York
5807,2009-12-08,Final Jeopardy!,LITERATURE OF THE 1800s,Paul Lavrakas,Angie Harrison,Dave Belote,Virginia,Maryland,Las Vegas
5622,2009-02-03,Final Jeopardy!,CIVIL WAR PEOPLE,Brooke Anthony,Chris Norlin,Carolyn Young,New York,California,Georgia
5084,2006-10-19,Final Jeopardy!,FAMOUS NAMES,Elesha Coffman,Andy Reese,Joe Leibrandt,North Carolina,California,California
5002,2006-05-16,Final Jeopardy!,SCIENTISTS,Kevin Marshall,Bill MacDonald,David Madden,Louisiana,Florida,New Jersey
5334,2007-11-15,Final Jeopardy!,SCIENTISTS,Doug Hicton,Cliff Galiher,Celeste DiNucci,Canada,California,Pennsylvania
5347,2007-12-04,Final Jeopardy!,U.S. POLITICS,Keith Thorell,John O'Leary,Heather Mathewson Rainville,California,Massachusetts,North Carolina
4751,2005-04-11,Final Jeopardy!,ARLINGTON'S TOMB OF UNKNOWNS,David Venderbush,Scott Gillispie,Steven Popper,New York,Georgia,California
4576,2004-06-28,Final Jeopardy!,BOOK TITLES,Lori Fountain,Michael Magdalena,Ken Jennings,Nevada,California,Utah
4582,2004-07-06,Final Jeopardy!,HISTORIC ENGLISHMEN,Jenny Miller,Tom Aquino,Ken Jennings,Virginia,Massachusetts,Utah
5352,2007-12-11,Final Jeopardy!,SHAKESPEAREAN TRAGEDY CHARACTERS,Leslie Rochlen,Mike Donilon,Jenn Cannon,Connecticut,Florida,Michigan
4398,2003-10-22,Final Jeopardy!,20th CENTURY NOTABLES,Gina Ash,Dick Fernberg,Russ Schumacher,Virginia,Florida,Colorado
6144,2011-05-05,Final Jeopardy!,WORLD LEADERS,Sally Umbach,Charles Temple,Grafton Brown,Ohio,North Carolina,Illinois
6239,2011-11-03,Final Jeopardy!,COUNTRIES' HIGHEST PEAKS,Kara Spak,Brian Meacham,Roger Craig,Illinois,Alaska,Delaware
5796,2009-11-23,Final Jeopardy!,ODD TITLES,Patrick Pence,Cathy Sorge,Ben Davis,Florida,Maryland,Illinois
5996,2010-10-11,Final Jeopardy!,PRISONS,Carol Denny,Dylan Payne,Mike Hodel,Maryland,New York,Washington
2818,1996-11-27,Final Jeopardy!,RIVERS,Shane Whitlock,Beverly Spurs,Mike Dupée,Arkansas,California,Florida
5797,2009-11-24,Final Jeopardy!,COMPOSERS,Robert Bethune,Jen Jacobsen,Ben Davis,California,Iowa,Illinois
4213,2002-12-18,Final Jeopardy!,20th CENTURY U.S. PRESIDENTS,Kali Klena,Murray Levin,Elizabeth Baxter,Illinois,Pennsylvania,Oklahoma
4278,2003-03-19,Final Jeopardy!,ALL GOD'S CREATURES,David Frazee,Erica Weinberg,Amanda Potocky,Kansas,New York,North Carolina
3403,1999-05-26,Final Jeopardy!,1950s ACHIEVEMENTS,Elton Bowen,Pat Smith,Eileen Tremblay,Virginia,Florida,Massachusetts
3436,1999-07-12,Final Jeopardy!,IN THE BOOKSTORE,Jim Austgen,Brad Golstein,Laura Miller,Illinois,California,California
1276,1990-03-05,Final Jeopardy!,SHAKESPEAREAN TITLE CHARACTERS,Gunther Freehill,Keith Pickering,Elaine Zollner,Illinois,Minnesota,California
4700,2005-01-28,Final Jeopardy!,THE WORLD OF ART,Whitney Prince,Allan Long,Caitlin Cook,Tennessee,Florida,North Carolina
6288,2012-01-11,Final Jeopardy!,FOOD ETYMOLOGY,Vinayak Thiagarajan,Katy Stigers,Dan McShane,Illinois,Tennessee,New York
5512,2008-07-22,Final Jeopardy!,WORLD LEADERS,Josh Fruhlinger,Joanne Infantino,Mark Wales,Maryland,Oklahoma,New York
3060,1997-12-12,Final Jeopardy!,BRAND NAMES,Linda Zee,Gardner Linn,Jennifer Hopens,New York,Georgia,Texas
5419,2008-03-13,Final Jeopardy!,AUTHORS,Trevor Burrus,Ellen Eden,Jason Kaczor,Colorado,Illinois,New York
3343,1999-03-03,Final Jeopardy!,THE PRESIDENCY,Joan Williams,Lina Ghosh,Elizabeth Nyman,Illinois,Indiana,Florida
3331,1999-02-15,Final Jeopardy!,WORLD CITIES,Juliet Wiley,Lance Johnson,Andrew Maly,Texas,Illinois,Maryland
3003,1997-09-24,Final Jeopardy!,19TH CENTURY FICTION,Roxanne Smith,Phil Turnbull,Bob Willoughby,Maryland,Washington,Wisconsin
308,1985-11-13,Final Jeopardy!,BIOLOGY,John Hnat,Paul Boymel,Paul Croshier,Ohio,Maryland,California
3480,1999-10-22,Final Jeopardy!,SISTER CITIES,Wendy Ball,Tony Kollath,Eddie Timanus,Illinois,Virginia,Virginia
4842,2005-10-04,Final Jeopardy!,20th CENTURY NOVELS,Thaddeus Grimes-Gruczka,Susan Daniels,Jason Richards,New York,Rhode Island,Maine
1658,1991-11-13,Final Jeopardy!,AFRICAN AMERICANS,Lois Kurowski,Steve Robin,Scott Gillispie,Indiana,Arizona,Georgia
3254,1998-10-29,Final Jeopardy!,TV CHARACTERS,Liz Fasoldt,Rick Bunch,Juliet Wiley,Pennsylvania,"Washington, D.C.",Texas
5903,2010-04-21,Final Jeopardy!,SAINTHOOD,Patsy Chrysson,Phil Bucska,Amy Wilson,North Carolina,Michigan,Oregon
2047,1993-06-29,Final Jeopardy!,U.S. RIVERS,Rebecca Jacobs,Mike Boyd,David Harris,Massachusetts,Illinois,New Jersey
2349,1994-11-17,Final Jeopardy!,NAMES IN THE NEWS,Rachael Schwartz,David Hillinck,John Cuthbertson,New Jersey,California,California
5173,2007-02-21,Final Jeopardy!,EXPLORERS,Ted Dudley,Sue Saunders,Brad Haag,Vermont,Virginia,California
3537,2000-01-11,Final Jeopardy!,TELEVISION HISTORY,Cheryl Lopes,Terence Caulfield,Jerry Crowley,Rhode Island,Maryland,Florida
3911,2001-09-10,Final Jeopardy!,FAMOUS PEOPLE,Brian O'Rourke,Tony Morgan,Ramsey Campbell,Massachusetts,Tennessee,California
4254,2003-02-13,Final Jeopardy!,FIRST NAMES,Tyler Allard,John Zhang,Anthony Valente,Maryland,Kentucky,New York
5831,2010-01-11,Final Jeopardy!,THE PARTS OF SPEECH,Alonso Duralde,Mariann Cook Andrews,Susan Poliniak,California,Washington,New York
3470,1999-10-08,Final Jeopardy!,THE FUNNIES,Paul McGonagle,Beth Carroll,Pat Tortorello,Illinois,New Jersey,New Jersey
4506,2004-03-22,Final Jeopardy!,FAMOUS FELINES,Daniel Black,Brian G. Hartz,Sonja Srinivasan,Nevada,Indiana,California
2120,1993-11-19,Final Jeopardy!,WORD ORIGINS,Jack Mahoney,Al Lin,Diane Siegel,New Jersey,Virginia,California
5935,2010-06-04,Final Jeopardy!,AMERICAN POLITICIANS,J.R. Lind,Felicia Ko,Jeff Johnson,Tennessee,Pennsylvania,Kentucky
3903,2001-07-18,Final Jeopardy!,INTERNATIONAL LANDMARKS,Chris Todd,Emily Eagan,Alan Bailey,New York,Louisiana,California
3303,1999-01-06,Final Jeopardy!,PEOPLE,Lynn Crowell,Dennis Thibodeaux,April Hahn,New York,Tennessee,California
4968,2006-03-29,Final Jeopardy!,20th CENTURY THEATER,Dustin Burke,Ed Lewis,Ben Goggins,Pennsylvania,California,Georgia
5307,2007-10-09,Final Jeopardy!,U.S. PRESIDENTS,Rachel Millena,Eddie Kwiatkowski,Charlie Blatt,California,Rhode Island,New York
3517,1999-12-14,Final Jeopardy!,AMERICAN AUTHORS,Kathleen Victor Wyatt,Carter Paige,Darlene Lieblich,New York,Maryland,California
776,1988-01-11,Final Jeopardy!,SOUTH AMERICA,Robin Hoffmann,Leah Greenwald,Sarah Workman,Illinois,Massachusetts,California
3010,1997-10-03,Final Jeopardy!,BATTLES,Kate Rogers,Alberto Cangahuala,Ronda Barker,Washington,California,Illinois
3855,2001-05-11,Final Jeopardy!,SOUTH AMERICA,Colleen Mahoney,Graham Gilmer,Andy Siegler,Connecticut,Virginia,New Jersey
3358,1999-03-24,Final Jeopardy!,WORD ORIGINS,Susanne Sutton,Brad Nail,Robin LeMaster,Georgia,Florida,California
4985,2006-04-21,Final Jeopardy!,FAMOUS OBJECTS,Jimmie Bise Jr.,Sally Vaughn,Doug Dorst,Maryland,Wyoming,Texas
6287,2012-01-10,Final Jeopardy!,RULERS IN HISTORY,Jennifer Osorio,Bryan Barnett,Dan McShane,California,Virginia,New York
5930,2010-05-28,Final Jeopardy!,AWARDS & HONORS,Elizabeth Schmitt,Aaron Ammerman,Tom LaPorta,Texas,Virginia,Florida
5363,2007-12-26,Final Jeopardy!,STRUCTURES,Patricia Crane,Bruce Upbin,Cora Peck,Virginia,New York,California
958,1988-11-02,Final Jeopardy!,THE SPACE RACE,Phil Nauss,Eileen Anderson,Alison Roberts,Utah,New York,Louisiana
4667,2004-12-14,Final Jeopardy!,AWARD-WINNING AUTHORS,Jerry Mayer,Joel Kahn,Robert Bowsher,Virginia,California,Ohio
732,1987-11-10,Final Jeopardy!,THE BIBLE,Michael Galvin,Frank Hughes,Richard Cordray,Ohio,California,Ohio
5476,2008-06-02,Final Jeopardy!,THE BILLBOARD HOT 100,Chris Vestuto,Ann Middleman,Susan Keller,California,New York,Pennsylvania
5171,2007-02-19,Final Jeopardy!,ORGANIZATIONS,Amanda Froning,Rob Faunce,Wayne Cherry,Delaware,New York,Texas
3191,1998-06-15,Final Jeopardy!,MACBETH,Lew Taylor,Ben Douglas,Natalie Segal,Virginia,California,Connecticut
2515,1995-07-07,Final Jeopardy!,NOTORIOUS,Robert Press,Beverly Adams,Isaac Segal,California,California,New Jersey
4183,2002-11-06,Final Jeopardy!,AUTHORS,Katie Francisco,Brad Bean,Sandra Alboum,Georgia,Ohio,Virginia
3255,1998-10-30,Final Jeopardy!,HALLOWEEN ON FILM,Katie Clark,Michael Plank,Juliet Wiley,North Carolina,Pennsylvania,Texas
5094,2006-11-02,Final Jeopardy!,FICTIONAL CHARACTERS,Dave Meddish,Caroline Waddell Zarzar,Jim Spilman,Idaho,North Carolina,Massachusetts
4644,2004-11-11,Final Jeopardy!,BRITISH NOVEL CHARACTERS,Vicky Manos,Jeff Love,Amanda Nowotny,New York,California,Pennsylvania
6072,2011-01-25,Final Jeopardy!,THE OLD TESTAMENT,Gitta Neufeld,Abie Hadjitarkhani,Amanda Sonmor,New York,California,Colorado
4808,2005-06-29,Final Jeopardy!,MUSICAL THEATER,Deanna Easter,Tony Jonick,Ben Kesling,North Carolina,California,Kentucky
5467,2008-05-20,Final Jeopardy!,CHILDREN'S AUTHORS,Larissa Kelly,Ameet Shukla,Mary Kay Schmidt,California,Arizona,Wisconsin
5146,2007-01-15,Final Jeopardy!,AMERICAN LITERATURE,JC Honeycutt,Brian Armbrust,Kelly Isenor,North Carolina,California,Massachusetts
4146,2002-09-16,Final Jeopardy!,ON THE CALENDAR,Zane Li,Billy Hackenson,Elena Botella,Utah,Virginia,North Carolina
3501,1999-11-22,Final Jeopardy!,FAMOUS WEDDINGS,Dan McNamee,Robert Guzzo,Janet Leach,California,California,New Hampshire
1274,1990-03-01,Final Jeopardy!,WORLD HISTORY,Kathy Rice,Jerry Fried,Deborah Hummel,California,New Jersey,Pennsylvania
3547,2000-01-25,Final Jeopardy!,THE TONY AWARDS,Glenn Sloat,Lee Lassiter,Lynn Walters,New York,Kansas,Missouri
4227,2003-01-07,Final Jeopardy!,ANIMALS,William Tarpeh,Jessie Robertson,Chris Palmquist,Virginia,Texas,Iowa
2679,1996-04-04,Final Jeopardy!,FAMOUS TEACHERS,John Fitzgibbon,Vince Mohan,David Sampugnaro,Illinois,New Jersey,New York
4724,2005-03-03,Final Jeopardy!,20th CENTURY AMERICANS,Paul Boymel,Andrew Garen,Ed Schiffer,Maryland,Texas,California
3898,2001-07-11,Final Jeopardy!,CONTEMPORARY BRITISH AUTHORS,Downey Meyer,Melissa Abrahams,Michael Hall,New Hampshire,California,Pennsylvania
1291,1990-03-26,Final Jeopardy!,COUNTRIES OF THE WORLD,Paul Lenzi,Glenda Wells,Andrew Bernknopf,Pennsylvania,Illinois,Pennsylvania
4946,2006-02-27,Final Jeopardy!,AMERICAN WOMEN,Tim Logue,Jessica Epstein,Bonnie Clair,California,Washington,Missouri
4787,2005-05-31,Final Jeopardy!,BEATLES MUSIC,David Rozenson,Neill Kovrig,Lisa Voss,Massachusetts,California,Nebraska
6135,2011-04-22,Final Jeopardy!,BIOGRAPHERS,Nick Cohen,KC Frodyma,Brian Meacham,New York,California,Alaska
5443,2008-04-16,Final Jeopardy!,CONSUMER PRODUCTS,Jay Sprout,Ann Mulkern,Chris Zane,Vermont,Louisiana,Maryland
6231,2011-10-24,Final Jeopardy!,U.S. CITIES,Laura Bulkin,Francisco Maldonado-Ramirez,Balaji Narain,New Mexico,New Jersey,Georgia
3682,2000-09-12,Final Jeopardy!,NOTORIOUS,Steven King,Lisa Manley,Mark Staloff,Arizona,Texas,Massachusetts
3102,1998-02-10,Final Jeopardy!,ENGLISH LITERATURE,Bob Harris,Peter Scott,Lyn Payne,Ohio,"Washington, D.C.",Florida
5397,2008-02-12,Final Jeopardy!,CHARACTERS IN BOOKS,Melissa Luttmann,Janelle Lambert,Rachel Horn,Tennessee,New York,Ohio
6293,2012-01-18,Final Jeopardy!,FATHERS & SONS,Zach May,Debra McGuire,Amy Stephenson,Kentucky,Texas,New York
5624,2009-02-05,Final Jeopardy!,AMERICAN FICTION WRITERS,Nick Leggatt,Herbie Tinsley,Gail Flemmons,Texas,Ohio,Mississippi
3393,1999-05-12,Final Jeopardy!,RENAISSANCE LITERATURE,Cameron Blakemore,Katie King,Veronica Lee,Oklahoma,West Virginia,Oregon
3409,1999-06-03,Final Jeopardy!,WORLD EVENTS,Preston Spickler,Marina Rimer,Dave Martin,West Virginia,California,Oregon
4160,2002-10-04,Final Jeopardy!,U.S. PRESIDENTS,Cathy Royal,Rikardo Ayala,Mark Brown,Tennessee,California,Arizona
3907,2001-09-04,Final Jeopardy!,NATIONAL ANTHEMS,Bernard Pena,Carrie Pfeiffer,Anne Reynolds,Louisiana,Tennessee,Ontario
5153,2007-01-24,Final Jeopardy!,FOREIGN CURRENCY,Emily Seftel,Su Kim,Freddy Bee,Arizona,Illinois,California
3820,2001-03-23,Final Jeopardy!,TRANSPORTATION INNOVATIONS,Jack Breschard,Armando Martinez,Matthew Wiehr,California,California,Oregon
6193,2011-07-13,Final Jeopardy!,NAME THE POET,Paul Barbour,Sarah Powell,Damian Yu,New York,Maryland,Canada
2893,1997-03-12,Final Jeopardy!,THE NOBEL PRIZE,Eileen Davenport,Brian Hamill,Mike Davison,Illinois,Massachusetts,California
3108,1998-02-18,Final Jeopardy!,AUTHORS,Michelle Power,Jesse Moises,J.J. Todor,Oregon,California,Ohio
4987,2006-04-25,Final Jeopardy!,MOVIE DIRECTORS,Gigi Gilman,Theo Caldwell,Doug Dorst,Washington,Canada,Texas
5701,2009-05-25,Final Jeopardy!,THE ELEMENTS,Charles Swanson,Katy Karlin,Justin Bernbach,Wisconsin,California,New York
5530,2008-09-26,Final Jeopardy!,ROYALTY,Tami Deeb,Andrew Hoekzema,Brian Levinson,California,Missouri,New York
4738,2005-03-23,Final Jeopardy!,MAJOR LEAGUE BASEBALL,Phoebe Juel,Steve Berman,Brad Plovan,North Carolina,California,Maryland
4550,2004-05-21,Final Jeopardy!,EXPLORATION,Juan Carlos Batlle,Jeremy Schanck,Paul Nethercut,Pennsylvania,"Washington, D.C.",California
3130,1998-03-20,Final Jeopardy!,FINANCE HISTORY,Carol Tierney,Boze Hadleigh,Jeff Chrzanowski,Massachusetts,California,New Jersey
3543,2000-01-19,Final Jeopardy!,THE BOOK TRADE,Brian Carlson,Lynn Walters,Kara McDermott,Illinois,Missouri,Massachusetts
4177,2002-10-29,Final Jeopardy!,NOTABLE NAMES,Todd Powers,Rebecca Goldman,Phillip Steele,Pennsylvania,Florida,California
6159,2011-05-26,Final Jeopardy!,19th CENTURY MUSIC,Carl Aveni,Chloe Horning,Tom Brown,Ohio,Washington,Pennsylvania
5825,2010-01-01,Final Jeopardy!,ROSE BOWL HISTORY,Megan Langhoff,Neel Varde,Jessica Stapp,Louisiana,Illinois,Arizona
5416,2008-03-10,Final Jeopardy!,ACTORS,Mandy Loy,Chris Flood,Jeff Harmon,Virginia,California,Tennessee
3205,1998-07-03,Final Jeopardy!,WORLD LEADERS,David Evans,Dan Girard,John Skelton,California,California,Washington
3014,1997-10-09,Final Jeopardy!,FAMOUS WOMEN,Dylan Armstrong,Amy Vandenberg,Phil Ackerman,Connecticut,Michigan,Wisconsin
5623,2009-02-04,Final Jeopardy!,20th CENTURY FIRSTS,Gail Flemmons,Louis Irizarry,Chris Norlin,Mississippi,Florida,California
4122,2002-07-02,Final Jeopardy!,1980s BUSINESS,Becky De Jesus,Jeff Goldfarb,Judy Anderson,Kansas,New York,Georgia
6029,2010-11-25,Final Jeopardy!,U.S. PRESIDENTS,Laura Button,Matthew Warren,Bob Kennedy,Georgia,South Carolina,California
5281,2007-07-23,Final Jeopardy!,ITALIAN INVENTORS,Kyle Neblett,Rachel Gottesman,Andy Hutchins,Oregon,New York,Florida
4935,2006-02-10,Final Jeopardy!,AMERICANA,Andrew Watkins,David Hoffelmeyer,Laura Ansley,Pennsylvania,Missouri,Ohio
4472,2004-02-03,Final Jeopardy!,ARBOREAL MAMMALS,Marianne Henderson,Ron Banks,Jeff Kuhn,Virginia,California,New York
5437,2008-04-08,Final Jeopardy!,OLYMPIC CITIES,Kathleen Gallagher,Jon Folkestad,Deborah Fitzgerald,Missouri,Oregon,Virginia
4766,2005-05-02,Final Jeopardy!,WORLD CITIES,Arthur Phillips,Pam Mueller,Eric Terzuolo,New York,Illinois,Netherlands
3588,2000-03-22,Final Jeopardy!,HISTORIC PEOPLE,Ron Josephson,Sara Winterer,Andrew Burke,Maryland,Pennsylvania,Georgia
4362,2003-07-15,Final Jeopardy!,THE CABINET,Debra Doyle,Billy Barnhart,Leonard Stoehr,Mississippi,California,Georgia
5311,2007-10-15,Final Jeopardy!,ARTISTS,Trip Robertson,Pamela Chin,David Daniel,South Carolina,New Jersey,California
4300,2003-04-18,Final Jeopardy!,ORGANIZATIONS,Jonathan Feuerman,Pat Crawley,Gerry Waggett,Florida,Nevada,Massachusetts
6014,2010-11-04,Final Jeopardy!,BURIED AT ARLINGTON,Jennifer Hill,Rony Josaphat,Vito Cortese,"Washington, D.C.",Florida,Pennsylvania
4873,2005-11-16,Final Jeopardy!,WORD ORIGINS,Adam Pinson,Peter Ellis,Beth Cimini,Alabama,North Carolina,Massachusetts
4698,2005-01-26,Final Jeopardy!,LANDMARKS,Jimmy Li,Vanamali Compton,Michael Braun,Missouri,Arizona,Maryland
3795,2001-02-16,Final Jeopardy!,THE WESTERN HEMISPHERE,Robin Carroll,Fredrik Gildea,Carsten Wiedemann,Georgia,Sweden,Denmark
5279,2007-07-19,Final Jeopardy!,THE 50 STATES,Kyle Neblett,Tommy Maranges,Kristiana Henderson,Oregon,Florida,Washington
3136,1998-03-30,Final Jeopardy!,WORD ORIGINS,Kim Lynn,Ken Costa,Bradley Goodwill,Georgia,California,New York
4461,2004-01-19,Final Jeopardy!,RANKS & TITLES,Asad Jaleel,Regina Fitzsimmons,Frank Amanat,Illinois,Virginia,New Jersey
5081,2006-10-16,Final Jeopardy!,FROM MOVIE TO MUSICAL,Sharon Wing,Bret Rosson,Jim McMurtry,Illinois,Oregon,Florida
4950,2006-03-03,Final Jeopardy!,AMERICAN LITERATURE,Kim Clemmer,Deborah Melman-Clement,Jack Deschauer,Florida,Canada,Virginia
2903,1997-03-26,Final Jeopardy!,20th CENTURY LEADERS,Scott Masters,Joel Rayburn,Matt Radulski,Ontario Canada,Oklahoma,Connecticut
3209,1998-07-09,Final Jeopardy!,THE EARTH,Jeremy Anderson,Lore Guilmartin,Dan Girard,California,Texas,California
3053,1997-12-03,Final Jeopardy!,SCULPTURE,Kent Meckling,Chris Potters,Tom Castelazo,Oregon,California,California
3139,1998-04-02,Final Jeopardy!,THE 20th CENTURY,Paul McCudden,Jenny Smoyer,Pat Healy,California,California,California
3276,1998-11-30,Final Jeopardy!,BANDS,Andrew Maly,Dana Ezell,Deborah Danzis,Maryland,Louisiana,North Carolina
4693,2005-01-19,Final Jeopardy!,CLASSIC AMERICAN SONGS,Steve Kaplan,Ali Moss,Bud Humphrey,California,New York,Illinois
5880,2010-03-19,Final Jeopardy!,1940s MUSIC HISTORY,Kristian Zoerhoff,Sarah Bright,Jim Banks,Illinois,Louisiana,Connecticut
2778,1996-10-02,Final Jeopardy!,ACTOR-DIRECTORS,Tim McGann,Barbara Delisle,Bill Cute,Rhode Island,Massachusetts,Massachusetts
